Unnamed: 0,address,categories/0,categories/1,categories/2,categories/3,categories/4,categoryName,name,publishedAtDate,text,translatedLanguage,category,predicted_category_enhanced,confidence_enhanced
56,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Andrea Saldivar,2025-08-23T16:56:09.301Z,They didn't let us in on Wednesdays at the museums. I think they shouldn't hold events if a lot of people are going to attend; they fill the place up and don't give everyone a chance.,en,,never-visited,0.4432224929332733
57,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Alma,2025-08-23T04:31:27.812Z,"It's beautiful, but not suitable for people with a condition that prevents them from walking far. The entrance is disorganized, and there are no guides you can hire to explain the details.
I don't recommend going on the weekend; it's too crowded.",en,,authentic,0.8999999999999999
60,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Luis Daniel Palos,2025-08-23T00:05:24.161Z,The tour of Chapultepec Castle is absolutely worth it. Beautiful.,en,,authentic,0.7999999999999999
62,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Vianney Lopez,2025-08-22T20:36:41.102Z,"The place is very pretty, but the hard part is the climb. I thought there was a train that took you up, but I went on a Wednesday and it wasn't there.
Bring a headcover because the heat is intense.",en,,authentic,0.41340354084968567
64,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Colin McColl,2025-08-22T20:00:34.513Z,Incredible castle with the elegance  and beauty  of Versailles,,,authentic,0.4761737883090973
68,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Kary Urias,2025-08-22T15:25:02.389Z,Beautiful architecture 🥰🥰,en,,authentic,0.825
69,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Mely Torres (Mely),2025-08-22T06:41:14.679Z,Very nice castle,en,,authentic,0.4765028655529022
74,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,ComidaVenezolana,2025-08-21T23:44:18.494Z,"The culture, history, and beauty of this place are priceless. I've been there at least five times and always learn new and interesting facts. It's magnificent.",en,,authentic,0.9308776259422302
77,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Alan Jasso,2025-08-21T20:33:00.627Z,"The castle is spectacular, a whole story of emperor-level luxury, going back in time, it's majestic from every angle!",en,,authentic,0.6445633769035339
78,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Angel Alarcon,2025-08-21T16:44:01.705Z,This is my second time visiting the castle. It's spectacular. Every Mexican should definitely visit Chapultepec Castle at least once in their life.,en,,authentic,0.9072338938713074
79,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Jeffrey Andrews,2025-08-21T15:46:57.351Z,A place everyone should visit when coming to Mexico City !,,,authentic,0.44581523537635803
84,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Fee Ajolote,2025-08-21T00:52:27.620Z,must see,,,authentic,0.65
85,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Berny Mata,2025-08-20T22:21:10.377Z,"They don't let water in, and the queue for the bathroom was very long. Everything else was very nice.",en,,never-visited,0.325406014919281
86,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Mario Jimenez,2025-08-20T18:00:16.536Z,"Very tidy and clean. Don't bring food in because they won't let you in, not even with chewing gum.",en,,authentic,0.39063340425491333
90,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Oscar Cuadros,2025-08-20T15:13:06.153Z,"A castle in excellent condition with very beautiful spaces, with a lot of history and antiquities, without a doubt a great plan",en,,authentic,0.4104861617088318
94,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,RUBEN ROMERO BARRON,2025-08-20T04:25:55.049Z,"Beautiful castle in Mexico City's largest forest. Clean, safe, with parking, and steeped in history. You'll find everything you need to enjoy a great day in the city's best forest. You must see it.",en,,authentic,0.4143984913825989
95,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Ruben Araujo,2025-08-20T04:19:22.565Z,Excellent place to visit with the family and learn about the history of Mexico.,en,,authentic,0.31062567234039307
96,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Maclovio Hernandez,2025-08-20T03:45:25.913Z,Incredible,en,,authentic,0.65
98,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Raymundo Lopez,2025-08-20T01:29:39.664Z,That Castle and The Hospitality Are Great,,,authentic,0.5627331137657166
100,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Emmanuel Trejo,2025-08-19T23:34:51.802Z,"One of Mexico City's most beautiful museums, steeped in history and home to great battles. An iconic landmark in the city, with many artifacts to explore to appreciate Mexico's history.",en,,authentic,0.26885494589805603
103,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Nelsynna Aguirre,2025-08-19T21:43:49.702Z,Incredible experience!!,en,,authentic,0.65
108,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,yamili flores,2025-08-19T17:37:43.966Z,Wonderful place!,en,,authentic,0.85
116,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,TaNii Nájera,2025-08-19T04:58:12.268Z,Super cute.,en,,authentic,0.65
119,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Oscar Guerra,2025-08-19T00:46:12.960Z,Very beautiful.,en,,authentic,0.85
120,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Fernando Lopez,2025-08-18T22:30:26.863Z,Iconic and historic place,en,,authentic,0.442562997341156
123,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,barbara Ferreira,2025-08-18T16:56:10.469Z,From the moment you walk in it's wonderful.,en,,authentic,0.7888650298118591
125,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Javiera Mateluna,2025-08-18T14:06:53.718Z,"Very nice!! The walk and the view of Mexico City from there are wonderful. That's true, on Sunday mornings, there are a lot of people.",en,,authentic,0.4948313534259796
127,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Frederick Rodriguez,2025-08-18T06:28:28.865Z,The story is false but the idea is very good... The only Cadets in America.,en,,never-visited,0.5183001756668091
128,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Vianney Lizbeth Ramos Alonso,2025-08-18T06:15:17.612Z,"Incredible
A place steeped in history
Visiting Chapultepec Castle was a unique and enriching experience. From the moment you climb the hill, the tour becomes special, as you gradually appreciate the majesty of the castle and the panoramic view of Mexico City. Upon entering, I was impressed by its spacious halls, decorated with antique furniture, mirrors, murals, and details that transport you to another era.",en,,authentic,0.9194707870483398
129,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Gabriel Rocha,2025-08-18T05:56:05.141Z,Everything is fine,en,,authentic,0.5358960032463074
130,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,kevin smith,2025-08-18T04:23:16.300Z,Very busy Sunday afternoon visit. Fascinating history of last Emperor of Mexico (Ferdinand). Great views of the city.,,,authentic,0.39873719215393066
131,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Eva G,2025-08-18T04:18:01.954Z,Fairy tale castle on top of a mountain overlooking a park and the city. You will find beautiful artwork throughout and wonderful visas below. Be advised that the climb up can be steep but there is a small train that takes people up. Wear comfortable shoes and be prepared to make an entire day out of the outing by staying around and playing in the park. Bring loose change.,,,authentic,0.4455113112926483
133,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Esteban Sosa (Estebandojas),2025-08-18T03:37:18.251Z,"An excellent museum that tells the complete story of Mexico. Plus, the city views are incredible for photo ops.",en,,inappropriate,0.21300944685935974
134,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Waldo Roma,2025-08-18T03:27:50.603Z,A must-see stop in the city,en,,authentic,0.44891178607940674
135,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,jonathan Lopez,2025-08-18T03:24:53.953Z,"I liked it, but I recommend that you bring water and good shoes, because there is a lot of walking, but the view is worth it.",en,,authentic,0.5162712335586548
136,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Sandro Morrison Smith,2025-08-18T02:25:16.516Z,With incredible views,en,,authentic,0.43898722529411316
138,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Cinthya Ruiz,2025-08-18T01:06:39.957Z,"Very beautiful, lots of history",en,,authentic,0.4803008735179901
139,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Rigel Enrique Perez Cravioto,2025-08-17T23:51:18.902Z,Excellent,en,,authentic,0.85
141,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Wendy Lorena Merino Gomez,2025-08-08T21:15:33.054Z,"I love it, our downtown Mexico City is beautiful.",en,,authentic,0.6864185333251953
142,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,David L F,2025-06-18T08:46:15.618Z,Great place to walk,en,,authentic,0.46492770314216614
143,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,marys v,2025-05-20T18:08:35.168Z,"A sister place, it's a shame that the teachers of Oaxaca have invaded it with camping houses, there's nowhere to walk 😔",en,,never-visited,0.2940201461315155
144,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Emilia Tarca,2025-05-18T12:08:01.181Z,I loved it,en,,authentic,0.7653681039810181
145,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,oscar gonzalez portilla,2025-05-01T01:25:20.718Z,Good place......,en,,authentic,0.65
147,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Hèctor,2025-02-22T20:05:26.762Z,Excellent place to visit,en,,authentic,0.5947343111038208
148,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Gerardo Morantes,2025-02-16T18:24:12.174Z,Enjoy the Zócalo esplanade,en,,authentic,0.46017947793006897
151,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Miguel Martinez,2025-01-19T00:41:13.497Z,It is very delicious,en,,authentic,0.5347264409065247
153,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Mariana Casillas,2024-12-26T18:11:17.731Z,It's wonderful; the church must be one of the oldest in Latin America. All the buildings are spectacular. It's a shame there are so many street vendors. They should create a market and move them somewhere else. You can't even take a photo without a vendor in sight.,en,,authentic,0.25635331869125366
154,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,pasopty,2024-12-24T03:12:09.381Z,"Located inside the Paseo Interlomas mall, in a stall near the escalator where the entrepreneur's bazaar is located. I thought they were very good, better than the ones in Valladolid, Yucatan. I recommend the Nutella and Bola cheese one. Very tasty. They sometimes have seasonal promotions. Prices start at 70 pesos for the traditional ones. The service is good.",en,,authentic,0.825
155,"Pje. Allende 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",Shopping mall,,,,,Shopping mall,Raul Acevedo,2024-12-22T23:19:48.844Z,Regular,,,authentic,0.65
162,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Gerardo Rodriguez,2025-07-31T16:11:23.896Z,Good,,,authentic,0.85
163,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Dr. César Augusto Romero,2025-07-23T14:40:51.307Z,Beautiful historic center,en,,authentic,0.8
164,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Ines German,2025-07-22T01:07:49.966Z,It was a very nice screening of Mexico City,en,,authentic,0.45030975341796875
166,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Nayeli Fonck,2025-07-19T18:09:56.931Z,"Always something new, definitely a beautiful place",en,,authentic,0.825
170,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,arsen,2025-05-05T17:20:04.558Z,"Beautiful, large main square in the center of CDMX. It is definitely worth a walk.",en,,authentic,0.41266971826553345
172,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Michael Caine,2025-04-26T00:07:11.581Z,Historic square in the city center,en,,authentic,0.47735387086868286
174,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Felipe Colmenares,2025-03-27T00:00:57.439Z,It's pretty dirty.,en,,inappropriate,0.42773979902267456
175,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Siempre Leales,2025-03-25T23:41:39.868Z,Historic and beautiful place cradle of our nation,en,,authentic,0.825
176,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Luis Enrique Mendoza,2025-03-14T13:50:04.463Z,As always with a great atmosphere,en,,authentic,0.6634132862091064
178,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Angel “Peloncito” De Leon,2025-02-13T06:34:34.247Z,Every day surprises you with some important event or occurrence,en,,inappropriate,0.2823290228843689
179,"Zócalo, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",Tourist attraction,,,,,Tourist attraction,Roberto Jiménez,2025-02-11T03:00:59.083Z,The city is enjoyed in the morning or late evening when there are not many people.,en,,authentic,0.48106420040130615
180,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,azucena LU,2025-08-17T23:49:57.173Z,"Years go by and this place is still my favorite, the garden, the views, and the way they keep all the furniture so well cared for amaze me. I hope they don't neglect it.",en,,authentic,0.9100774526596069
184,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Laurens Jansma,2025-08-17T21:17:39.595Z,Impressive but very very busy on Sundays!,,,never-visited,0.34005650877952576
185,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,María José Calderón,2025-08-17T20:52:48.192Z,Amazing place 😍,,,authentic,0.8
187,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,NINROD REYES,2025-08-17T15:43:11.569Z,Beautiful place,en,,authentic,0.85
189,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Lucia Malzone,2025-08-17T11:36:31.001Z,"Beautiful place!
It's worth a visit, with time to climb and descend (at least 15 minutes each way). Avoid Sundays, which are very crowded, because Mexicans get free admission, which I think is really cool because usually the free admission is on weekdays when no one can go!!! 👏🏼)",en,,authentic,0.85
195,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,David Ledon,2025-08-17T03:25:51.874Z,very father,en,,authentic,0.65
197,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,SALVADOR AVALOS MARTINEZ,2025-08-16T22:35:30.229Z,"You should arrive early to avoid long lines. Bring an umbrella in the rain and a good jacket in the cold. On Sundays, admission is free for Mexicans; don't forget your ID.",en,,authentic,0.269682377576828
