,text,dominant_topics,dominant_topics_words
96,"Except for demonstrations and sit-ins, people can always walk freely and safely on most of its streets and avenues.",[],
97,"The day I was in the zÃ³calo, there were several artisans with typical clothing and crafts of various types, the prices were very good and there was typical food, all very good,","[2, 5, 6]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food"
98,"A world cultural heritage site, a beautiful place with a variety of places to eat and visit museums.","[3, 4, 14]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, service, fast, delicious, food, good"
99,"Good place to eat, the seasoning is good, it is located in Palma 5, office 301","[0, 2, 4, 10]","good, beautiful, place, eat, service, family, experience, place, best, nice, parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive"
100,Pretty,[],
101,"In December you live more intensely because of the decorations, everything is close and the weather is very pleasant.","[0, 5, 12]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, hotel, location, view, staff, great"
102,I love it âºï¸,[10],"pretty, negative, cdmx, delivery, positive"
103,Very good,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
104,"The Zocalo in Mexico City, where you can feel the history of Mexico, where people celebrate and mourn, and where you can't stop gazing at its impressive palaces. Beautiful Zocalo.",[14],"service, fast, delicious, food, good"
105,"An excellent historical landmark in Mexico City, where you can visit the Templo Mayor, the Metropolitan Cathedral, and museums, as well as enjoy its restaurants.",[14],"service, fast, delicious, food, good"
106,An excellent place to have a good time on the weekend,"[1, 2, 4]","love, recommended, highly, expensive, fine, family, experience, place, best, nice, parking, de, casa, dishes, good"
107,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
108,Excellent,[1],"love, recommended, highly, expensive, fine"
109,"I love the base plate, it is simply majestic, historical, the greatest Mexican pride.",[10],"pretty, negative, cdmx, delivery, positive"
110,Very nice events,[5],"closed, interesting, noisy, horrible, favorite"
111,Beautiful and dear Mexico....ð¸ð³,"[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
112,"Its buildings, palaces feel history",[],
113,"Our very nice center and all its surroundings, right now you can't see how beautiful it is because of the remodeling of the pavement and surroundings they are doing. But you can go visit the museum of the main temple which is a beauty of our pre-Hispanic culture.",[14],"service, fast, delicious, food, good"
114,My beloved zÃ³calo that has everything from the past to the present.,[12],"hotel, location, view, staff, great"
115,The greatness of TenochtitlÃ¡n,"[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
116,The esplanade of the ZÃ³calo in Mexico City is very large.,"[0, 5, 14]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
117,I LOVE THIS PLACE OK..,[4],"parking, de, casa, dishes, good"
118,Great to hang out,[13],"city, mexico, center, beautiful, historic"
119,"It is always very pleasant to get here at any time of the day, afternoon or night, only that there are times when they arrive or there are protesters, in my opinion it is one of the things that makes each visit unique & completely different.
Hear, see different points of view from each visitor.","[7, 10, 14]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
120,ð,[],
121,Cool,[],
122,I hope it works,[10],"pretty, negative, cdmx, delivery, positive"
123,"Chapultepec Castle is an emblematic place full of history in our country Mexico ð°ð²ð½, you definitely can't miss it ð¤",[14],"service, fast, delicious, food, good"
124,a lot of history,[14],"service, fast, delicious, food, good"
125,"A historic museum site of great interest, located on a hill above a park, overlooking Mexico City.","[13, 14]","city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
126,"The castle is incredible. Very well preserved, and the fact that they've preserved the Empress's chambers is truly unique. The views, the gardens... breathtaking.
The historical aspect leaves a lot to be desired, although the walk and the rest of the visit make it highly recommended.",[0],"good, beautiful, place, eat, service"
127,Sunday there are a lot of people,[14],"service, fast, delicious, food, good"
128,"Sometimes we forget the beauty of our history, and places like this remind us of and cherish it. The price is more than fair.",[14],"service, fast, delicious, food, good"
129,"The whole museum had no English info, except for a few panels for the French invasion period. It's funny because when paying for your tickets, there is an option to choose ""foreign visitor,"" yet they haven't seen a need for providing any text translation for those foreign visitors. I couldn't even use Google lens translation since there was no wifi in the museum! To make things worse, they kicked us out 10 minutes before the official closing time so we couldn't go to the terrace we planned as our last stop.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
130,Definitely worth visiting if you are in MÃ©xico City. Great views. Very interesting history displays on the ground floor including historic rooms.,"[13, 14]","city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
131,I definitely recommend the visit in the early morning just at the opening to avoid the crowds. The amenities are great and the rooms are amazing and well maintained. The spaces are quite big and you need to plan to spend at least 2 hours to appreciate all the building and its surroundings.,"[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
132,Super crowded. Lots of movement at this station.,[14],"service, fast, delicious, food, good"
133,"The palace and cathedral, with beautiful architecture all around, have many options for shopping, dining, or entertainment. You need to take time to explore. It's wonderful, with many photo opportunities.",[7],"food, service, bad, tacos, order"
134,"A very nice place to hang out or take a walk. Honestly, it's a very beautiful place with a lot of history, excellent for spending time with the family.","[3, 4, 5]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
135,"When I went, it wasn't at its peak, as there was an issue with the teachers, from what I understood. And there were tents and areas used for this demonstration. But the Mexican flag moved me when I saw it so imposing.","[6, 10]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive"
136,Very nice to learn about the history of Mexico,"[5, 14]","closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
137,"A very busy station any day and at any time, which is understandable because it's right in the heart of the city, the downside is that it's constantly closed. Its exhibition of models of the historic center is incredible, as each model represents a different moment in history (1521 with the Mexica, 1810 with the independence, 1910 with the revolution). However, they have become commonplace and everyone ignores them.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
138,"ð Outside the metro station, they've improved cleanliness and better organized street vendors.
+ Remember that the ticket costs 5 pesos, or you can top up an electronic card with credit.
+ Inside the metro, it's cool to visit a permanent exhibition about ancient Tenochtitlan, which features models and information about our roots.
+ It's a busy station at all hours, but especially during rush hour.
+ From this station, you'll exit right into the main square of Mexico City.",[],
139,It is closed due to demonstrations,[10],"pretty, negative, cdmx, delivery, positive"
140,I love the baseboard but it always smells like pee but yeah dude,[10],"pretty, negative, cdmx, delivery, positive"
141,"Vacation time, few people using it.",[10],"pretty, negative, cdmx, delivery, positive"
142,Excellent place to go for a walk and eat in the surrounding area,"[1, 4]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
143,"Street vendors don't affect me, poor things, they have to eat too. It affects me that they always close all the pedestrian crossings, preventing free traffic and forcing us to walk around like crazy, people accumulate and that happens every day, I have seen photographs of the zÃ³calo in the 20th century and it was wonderful.",[7],"food, service, bad, tacos, order"
144,"It's an excellent place to learn about Mexican history, highly recommended.
As a tip, wear comfortable shoes, as you'll be climbing the hill, there's a lot of walking involved.",[],
145,"They charge 100 to enter the castle. Seniors, minors, students, and teachers get in free. I went during the week and they charge, but Sunday is free. I think I'll wait to go anyway.",[7],"food, service, bad, tacos, order"
146,Very good place full of history,"[2, 4, 5, 14]","family, experience, place, best, nice, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
147,"I like Chapultepec Castle because it has a lot of history from the French occupation. The museum is very unique, with a wealth of military history and the history of the French occupation. It offers a superb view of Mexico City. Be prepared to walk a lot.","[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
148,A beautiful place that all Mexicans should know and reflect on.,"[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
149,"Magnificent, beautiful.  A most see if you are around Mexico City.","[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
150,"A must-see in Chapultepec, admission is free on Sundays.",[],
151,The main stage for mexican patriotism and pride!!,[],
152,I love the city center,[14],"service, fast, delicious, food, good"
153,"Model of the main temple, inside the ZÃ³calo Tenochtitlan metro",[],
154,"The station is quite spacious, it's not a big deal, but at least it's not as dirty or unsafe as other stations.",[10],"pretty, negative, cdmx, delivery, positive"
155,"I love visiting the ZÃ³calo. Traditions blend with the present. You can meet people from all over the world, as it's an iconic Mexican landmark. ððð",[],
156,There are always a lot of people and sometimes the service is very slow.,"[5, 9]","closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
157,Nice!!!,"[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
158,"The plaza in Mexico City
History, culture, and traditions.
National pride!!!",[14],"service, fast, delicious, food, good"
159,It's a load of rubbish to close the ZÃ³calo metro at 10 p.m. What's happening to tourism? We had to change to the Allende station.,[],
160,It's unacceptable that they close access to the Zocalo and Moneda Street just because they feel like it. Those of us who work there have to take a long walk just because they feel like it.,"[7, 10]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
161,"It is a chain of 3 hotels within blocks of each other, elegant classic style.","[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
162,"We traveled to Mexico City for a family trip and were going to stay in the usual gringo haunts of Roma or Condensa. Instead we stays at Zocalo Central and could not be more happier. Here is why one should elect to stay here:|1) Amazing location - just steps from the buzz of the Zocalo and within an easy stroll of all the wonderful things to see and do in Centro|2) Great free lobby cafe (Cafe Centrales) with wonderful staff who took great care of our kid and grandparents. Mucha Gracias Axel, Alondra, Michelle, Joseline and many others at all times of the day! We could grab pizza, sandwiches etc for a quick bite when we needed it.|3) They had a wheelchair we could borrow when we needed to go to the museums for folks who have some mobility problems|4) Great breakfast buffet on their rooftop restaurant overlooking the Zocalo |5) Very helpful front desk staff who helped us with our overall stay.","[6, 13, 14]","nice, great, amazing, place, food, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
163,"I booked this excellent hotel in a central location for the second time and was once again more than impressed. The historic ambiance with its modern artistic touch is impeccably maintained in every area. The staff is very well trained, English-speaking, and, above all, very accommodating. We really enjoyed breakfast on the magnificent roof terrace, right next to the cathedral. A particularly welcoming touch: the cafÃ© serves guests drinks and light meals around the clock, free of chargeâ¦ Thank you very much!","[0, 5, 6]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food"
164,"Hotel zocalo central was the absolute best hotel experience to date.  The hotel is beautiful, the rooms are high quality, quiet at night, great security and best of all the staff were pleasant and made me feel like family.  Shout out to Muchelle, Axel and Jocelyn in the cafÃ©. They did an excellent job making delicious food on the go and their service was excellent.  The hotel staff was very pleasant, professional and helpful.  My wife had hundreds of questions and they were there to answer all to the best of their abilities. Antonio is a great source of information and very helpful with any requests.  |I want to send a special thank you to Raul, a staff member on the evening shift.  He went out of his way a few times to help us with luggage, recommendations on restaurants and fun and exciting activities in mexico city.  Both me and my wife enjoyed our time talking to Raul and we are intending on returning in a few months in large part to the service he provided to us.  The location is in the center of everything. Whatever you need is within walking distance or a short uber ride away.  Highly recommend this hotel if you are visiting Mexico city","[6, 7, 14]","nice, great, amazing, place, food, food, service, bad, tacos, order, service, fast, delicious, food, good"
165,For an amazing MÃ©xico City experience the Zocalo Central Hotel is the Best place to stay. The entire staff is kind and friendly. Fernanda L concierge made our stay an amazing memorable experience. |Her genuine kindness and help made us feel like family. She is the Best! We will definitely stay there again! |We love The Hotel  Zocalo Central,[6],"nice, great, amazing, place, food"
166,"The hotel entrance is very pretty, and the staff is very friendly. It's great that they offer free drinks and snacks 24 hours a day. But the best part was breakfast on the rooftop. They have a great view and offer a wide variety of drinks. The enmoladas are highly recommended.","[0, 5, 13]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, city, mexico, center, beautiful, historic"
167,From the moment I arrived and Antonio efficiently took my luggage to my room to the last day when it just so happened that once again Antonio swiftly brought my luggage down and had me sit on a very comfortable chair in the lobby while he kept a vigilant look out for my taxi to the airport. The service could not have been better. The room was kept exceptionally clean by excellent cleaning people I believe that was Angelina. The concierge staff were wonderful and so helpful with suggestions and calling ahead to reserve the taxi. The Balcon del Zocalo had such a beautiful view and delicious food. I felt safe and secure with such lovely people managing this convenient and centrally located hotel. Highly Recommend.,[6],"nice, great, amazing, place, food"
168,"My stay at Central Hoteles was outstanding. From the moment I arrived, I felt warmly welcomed. The staff were exceptional: Alondra ensured a friendly arrival, Daniel offered great recommendations, Axel provided attentive service, and Fernanda added personal touches that made my experience truly special.||One highlight was enjoying the breathtaking view from the balcony at BalcÃ³n del ZÃ³calo, watching the sun set behind the cathedral - an unforgettable memory. Upon departure, I was surprised with a thoughtful farewell gift from Fernanda; a handwritten note, artisan mugs, and a cookbook â a gesture that made my stay even more memorable.||Central Hoteles combines genuine hospitality with unforgettable experiences. Highly recommended!",[6],"nice, great, amazing, place, food"
169,"My wife and I stayed at Hotel Zocalo Central for a week in June. I chose this hotel because of a very positive previous experience years before. If anything, Hotel Zocalo Central was even better than the last time. Itâs a beautiful property a short walk from Plaza Central and a pedestrian mall lined with shops, restaurants, parks and museums. But itâs the staff that makes this hotel great. Here is an example. I had always wanted to see Lucha Libre, a colorful, dramatic and acrobatic Mexican version of WWE entertainment wrestling in the US. Emblematic of this Mexican form of wrestling, the Luchadores (wrestlers) wear colorful snug-fitting masks called mascaras. I asked at the desk, and they sent me to Leyka, the concierge. My last chance to attend Lucha Libre before we went home was at Arena Mexico the next evening. It was complicated to acquire a ticket and find a good seat at the last minute. Leyka took over and tracked down a ticket only five rows from ringside. I was so excited. The next day I stopped by to thank Leyka and she presented me with my own mascara de Luchador. It was as colorful and well-made as the ones worn by the Luchadores in the ring. That night I had such a great time. The pageantry of Lucha Libre features a Good vs Evil theme. The observers are very much involved in what's going on in the ring, and the arena throbbed with the passionate crowd. I feel very attached to Hotel Zocalo Central and will certainly stay there again.",[6],"nice, great, amazing, place, food"
170,An unforgettable experience.,[],
171,"All staff members were very friendly and helpful, especially Antonio and Daniel! The location is excellent.","[1, 5]","love, recommended, highly, expensive, fine, closed, interesting, noisy, horrible, favorite"
172,"Had a fantastic stay at ZÃ³calo Central Hotel. The staff truly make this place special. Alex and Michelle at the bar were incredibly kind, attentive, and always welcoming no matter the hour. They made every visit feel personal and enjoyable. The doorman was also super friendly and helpful every single time I came or went. Their warmth and hospitality really stood out and made my stay even better. Highly recommend this hotel! Breakfast is a 10/10 as well. There are so many staff members willing to help you at all times everywhere which makes the experience here perfect.",[6],"nice, great, amazing, place, food"
173,"I went for my birthday, first time staying in the central square, the best experience 10 out of 10 NoemÃ­ and Antonio the best in customer service, always offering to help us, very kind | Obviously I will return for the Day of the Dead festival, thank you.",[],
174,"We had a fabulous 4 night stay at this hotel. We came to this hotel with a family of 4. We were greeted upon arrival by Raul and the front desk. The hotel is in a great location and the rooms were always clean everyday by housekeeping. Also, the snack bar was very good with lots of options to choose. Axel and Daniela always greeted us every time we came down for some snacks. They both did a great job providing great service for all of us.","[6, 13]","nice, great, amazing, place, food, city, mexico, center, beautiful, historic"
175,"I went last night with a friend. We didn't book, but they immediately seated us at a table near the view. It was beautiful, but unfortunately it was raining. We chose to choose from two menus. The first welcome course consisted of four different types of bread spread with local butter. Then we had a salad and a bruschetta with meat and cheese, both delicious. The second course consisted of two tacos, one with avocado and the other with fried fish (I don't like tacos, but they were excellent). The third course consisted of a plate of ravioli with cheese and the other fish on a bed of salsa and broccoli (both delicious). Finally, dessert was served, one with ice cream and avocado and the other with chocolate. We paid â¬45 each. Highly recommended, a wonderful place, fast and friendly staff.",[6],"nice, great, amazing, place, food"
176,It gets very crowded at night,"[5, 10]","closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
177,"Being the BIGGEST symbol of MEXICO, the most representative and the most extraordinary.
On this occasion there is an exhibition by a very interesting contemporary sculptor Javier Reivaj whose work is based on popol vuh. An extraordinary, very punctual job at the TENOCHTITLAN metro station. (Line 2)
Throughout the station there are photos, maps",[0],"good, beautiful, place, eat, service"
178,High seasons like Nov and Dec are very crowded,[5],"closed, interesting, noisy, horrible, favorite"
179,"Beautiful and well-kept area. There were a lot of police when I went, so I think it's safe.",[3],"beautiful, cathedral, history, incredible, many"
180,"It's a wonderful place to visit, to be, to learn...","[4, 7, 10]","parking, de, casa, dishes, good, food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
